baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS01180	846.648429999334	-0.308382522045654	0.112014254732572	-2.75306498071965	0.0059040176319346	0.0979587979146587
EQU24_RS01185	1340.87579897531	0.0166363846356665	0.108772438038106	0.152946692523692	0.878440313746246	0.990398743484802
EQU24_RS01190	548.176844386891	-0.035700127328916	0.113001082590333	-0.3159273036201	0.752057687203748	0.966904170239204
EQU24_RS01195	1179.44834485089	-0.0401356075491975	0.111616317572911	-0.359585483753124	0.719157140726719	0.95856478685576
EQU24_RS01200	601.773989506082	-0.173116043436289	0.112812314040852	-1.53454917495619	0.124894605293574	0.593832758069948
EQU24_RS01205	452.660284336968	0.00694921188972586	0.111540482401166	0.0623021502160295	0.950322216180664	0.995967765436101
EQU24_RS01210	456.792137221397	-0.20208512066177	0.113007920930999	-1.78823854997881	0.0737375292284204	0.46170531620109
EQU24_RS01215	11.6368316246005	0.63626253255327	0.0726921161394068	8.75284097292015	NA	NA
EQU24_RS01220	647.555642114555	0.222092625535115	0.104635974286364	2.1225264738043	0.0337935519706406	0.314990244234423
EQU24_RS01225	1417.91171248175	0.0990182215477325	0.104800674654558	0.944824275932522	0.344748596064293	0.8354548274547
EQU24_RS01230	572.121897248723	-0.116642011014994	0.102156162315912	-1.14180102668975	0.253536735508211	0.761200066639358
EQU24_RS01235	1349.0672811501	-0.110286084273858	0.112581436423295	-0.979611628503243	0.327277862680059	0.820356925831025
EQU24_RS01240	839.320163116976	0.0323004346135658	0.111046912864294	0.290871972758386	0.771149237452586	0.972799268537284
EQU24_RS01245	84.3801931905892	0.0184287006794458	0.107995745315791	0.170642839915205	0.864504610551851	0.988958472475898
EQU24_RS01250	518.444135250954	-0.00832067713321163	0.112488840518334	-0.0739689118926913	0.941035122189056	0.993610709430216
EQU24_RS01255	71.7703242281048	-0.223965177250438	0.113063805323765	-1.98087422061464	0.0476053807432582	0.374623744747207
